,time,signals,value
0,1621155135497,RAW,77
1,1621155135498,RAW,92
2,1621155135499,RAW,86
3,1621155135499,RAW,67
4,1621155135502,RAW,26
5,1621155135500,RAW,67
6,1621155135502,RAW,39
7,1621155135501,RAW,35
8,1621155135504,RAW,74
9,1621155135505,RAW,84
10,1621155135506,RAW,58
11,1621155135507,RAW,69
12,1621155135500,RAW,66
13,1621155135501,RAW,53
14,1621155135510,RAW,55
15,1621155135511,RAW,64
16,1621155135507,RAW,58
17,1621155135513,RAW,65
18,1621155135514,RAW,50
19,1621155135515,RAW,35
20,1621155135516,RAW,23
21,1621155135516,RAW,16
22,1621155135517,RAW,26
23,1621155135518,RAW,55
24,1621155135518,RAW,54
25,1621155135520,RAW,37
26,1621155135521,RAW,41
27,1621155135519,RAW,44
28,1621155135526,ROLL,111
29,1621155135526,PITCH,2
30,1621155135505,RAW,66
31,1621155135524,RAW,22
32,1621155135519,RAW,37
33,1621155135506,RAW,68
34,1621155135522,RAW,48
35,1621155135523,RAW,57
36,1621155135523,RAW,54
37,1621155135524,RAW,-3
38,1621155135524,RAW,-3
39,1621155135517,RAW,44
40,1621155135525,RAW,7
41,1621155135525,RAW,8
42,1621155135528,RAW,5
43,1621155135526,RAW,2
44,1621155135500,RAW,59
45,1621155135539,RAW,26
46,1621155135542,RAW,34
47,1621155135543,RAW,12
48,1621155135540,RAW,23
49,1621155135541,RAW,44
50,1621155135541,RAW,50
51,1621155135545,RAW,23
52,1621155135526,YAW,187
53,1621155135546,RAW,42
54,1621155135549,RAW,38
55,1621155135549,RAW,29
56,1621155135539,RAW,24
57,1621155135540,RAW,28
58,1621155135549,RAW,25
59,1621155135534,RAW,13
60,1621155135553,RAW,24
61,1621155135548,RAW,45
62,1621155135557,RAW,24
63,1621155135555,RAW,24
64,1621155135558,RAW,28
65,1621155135559,RAW,38
66,1621155135560,RAW,42
67,1621155135561,RAW,65
68,1621155135560,RAW,45
69,1621155135562,RAW,83
70,1621155135563,RAW,89
71,1621155135559,RAW,35
72,1621155135564,RAW,91
73,1621155135565,RAW,92
74,1621155135569,RAW,84
75,1621155135571,RAW,72
76,1621155135571,RAW,76
77,1621155135569,RAW,71
78,1621155135572,RAW,60
79,1621155135573,RAW,48
80,1621155135572,RAW,72
81,1621155135573,RAW,45
82,1621155135577,RAW,83
83,1621155135582,RAW,93
84,1621155135584,RAW,90
85,1621155135586,RAW,64
86,1621155135585,RAW,80
87,1621155135585,RAW,68
88,1621155135577,RAW,64
89,1621155135645,RAW,60
90,1621155135655,RAW,13
91,1621155135659,RAW,54
92,1621155135656,RAW,40
93,1621155135660,RAW,67
94,1621155135662,RAW,56
95,1621155135663,RAW,32
96,1621155135665,RAW,53
97,1621155135662,RAW,34
98,1621155135666,RAW,49
99,1621155135662,RAW,48
100,1621155135666,RAW,35
101,1621155135669,RAW,12
102,1621155135668,RAW,12
103,1621155135669,RAW,3
104,1621155135660,RAW,64
105,1621155135668,RAW,19
106,1621155135646,RAW,64
107,1621155135645,RAW,65
108,1621155135646,RAW,45
109,1621155135648,RAW,35
110,1621155135649,RAW,37
111,1621155135649,RAW,44
112,1621155135649,RAW,52
113,1621155135650,RAW,54
114,1621155135650,RAW,55
115,1621155135677,RAW,-5
116,1621155135651,RAW,50
117,1621155135651,RAW,54
118,1621155135651,RAW,49
119,1621155135654,RAW,35
120,1621155135677,RAW,-3
121,1621155135654,RAW,8
122,1621155135654,RAW,-4
123,1621155135655,RAW,1
124,1621155135656,RAW,38
125,1621155135655,RAW,33
126,1621155135656,RAW,35
127,1621155135678,RAW,12
128,1621155135665,RAW,44
129,1621155135685,RAW,4
130,1621155135685,RAW,16
131,1621155135683,RAW,24
132,1621155135687,RAW,4
133,1621155135689,RAW,20
134,1621155135690,RAW,21
135,1621155135690,RAW,17
136,1621155135689,RAW,12
137,1621155135693,RAW,26
138,1621155135694,RAW,9
139,1621155135696,RAW,9
140,1621155135694,RAW,22
141,1621155135693,RAW,37
142,1621155135698,RAW,38
143,1621155135699,RAW,48
144,1621155135699,RAW,54
