,ROLL,PITCH,YAW
0,111,2,187
1,113,2,194
2,113,2,188
3,112,2,186
4,113,1,192
5,113,1,187
6,113,0,190
7,113,1,196
8,112,0,190
9,111,0,178
10,112,0,183
11,112,0,185
12,110,0,178
13,110,0,180
14,110,0,177
15,112,1,184
16,111,2,181
17,111,2,188
18,110,2,189
19,112,2,196
20,112,1,198
21,111,1,185
22,110,2,173
23,110,2,175
24,111,2,185
25,111,3,192
26,111,3,197
27,111,2,192
28,112,3,199
29,110,2,192
30,111,2,190
31,109,2,187
32,112,2,193
33,113,2,201
34,112,2,195
35,113,1,196
36,111,1,191
37,112,2,195
38,111,0,179
39,111,-4,182
40,112,-4,179
41,113,-1,187
42,115,0,194
43,113,0,196
44,113,0,196
45,113,0,203
46,114,0,202
47,113,1,202
48,108,1,177
49,104,1,161
50,107,1,170
51,112,1,199
52,114,0,203
53,113,1,204
54,114,2,201
55,114,2,197
56,113,2,198
57,113,1,203
58,114,2,202
59,114,1,205
60,112,2,195
61,112,2,202
62,113,2,219
63,111,3,216
64,112,1,209
65,114,0,210
66,116,1,208
67,116,1,214
68,114,1,210
69,113,1,210
70,112,1,209
71,114,1,208
72,114,1,208
73,114,1,214
74,114,1,208
75,114,1,206
76,114,1,208
77,115,1,206
78,113,1,201
79,113,1,209
80,113,1,208
81,112,1,200
82,113,1,206
83,114,2,198
84,113,6,191
85,113,6,200
86,113,5,190
87,113,6,183
88,112,6,187
89,113,6,201
90,113,5,205
91,113,6,199
92,112,5,191
93,112,5,196
94,112,5,200
95,113,6,207
96,112,6,192
97,113,5,188
98,112,5,186
99,112,5,198
100,112,4,193
101,111,5,180
102,111,5,179
103,112,5,195
104,113,5,199
105,113,4,190
106,113,4,199
107,112,5,200
108,113,5,198
109,111,4,182
110,111,5,193
111,112,5,204
112,112,5,184
113,113,5,198
114,113,5,194
115,112,5,183
116,112,5,193
117,113,5,202
118,112,6,197
119,112,5,200
120,113,5,202
121,113,5,195
122,113,5,193
123,111,5,174
124,111,5,182
125,113,5,196
126,112,5,199
127,112,5,196
128,112,5,188
129,111,5,187
130,113,5,192
131,112,5,190
132,111,5,184
133,110,5,179
134,111,5,174
135,111,5,182
136,112,5,203
137,112,5,201
138,112,5,205
139,111,5,197
140,110,5,175
141,110,5,178
142,112,6,191
143,111,6,200
144,112,5,200
145,112,5,195
146,112,5,199
147,112,5,192
148,112,5,186
149,112,5,196
150,111,4,190
151,112,5,187
152,113,4,198
153,111,5,191
154,113,4,200
155,113,5,199
156,113,4,193
157,113,4,186
158,113,4,199
159,112,4,197
160,112,4,197
161,113,5,197
162,113,4,205
163,113,4,198
164,114,4,202
165,114,4,194
166,114,4,197
167,112,4,200
168,113,4,203
169,113,4,189
170,115,4,204
171,114,4,200
172,115,4,204
173,113,4,197
174,113,4,193
175,112,4,196
176,114,4,205
177,115,4,206
178,114,4,205
179,113,4,198
180,112,4,194
181,113,4,206
182,112,4,200
183,113,4,201
184,114,4,205
185,113,5,206
186,112,5,191
187,113,5,186
188,111,5,189
189,113,5,194
190,112,5,199
191,112,4,178
192,114,4,194
193,113,4,197
194,112,4,191
195,113,4,193
196,114,4,196
197,112,4,191
198,113,4,196
199,112,4,187
200,112,4,192
201,114,4,195
202,113,4,183
203,112,4,189
204,112,4,187
205,113,4,194
206,114,4,195
207,112,4,184
208,111,4,187
209,113,4,187
210,113,4,195
211,112,4,193
212,111,4,178
213,110,4,178
214,111,4,195
215,113,4,189
216,111,3,185
217,112,4,186
218,112,4,194
219,111,4,192
220,112,4,203
221,112,4,187
222,111,3,183
223,110,4,185
224,111,4,190
225,111,3,189
226,113,3,200
227,112,4,190
228,113,4,191
229,113,4,185
230,113,4,194
231,112,3,194
232,111,4,182
233,111,4,180
234,113,3,186
235,112,3,190
236,111,3,182
237,111,3,183
238,111,3,176
239,113,2,190
240,114,2,196
241,114,2,198
242,115,2,196
243,115,3,201
244,113,3,202
245,113,3,196
246,114,3,200
247,114,2,203
248,113,2,191
249,113,2,196
250,113,2,187
251,113,2,193
252,112,2,191
253,112,2,191
254,112,2,187
255,112,2,188
256,114,2,201
257,112,3,189
258,111,2,180
259,112,2,189
260,112,2,192
261,112,2,189
262,113,2,192
263,111,1,182
264,111,2,183
265,114,1,196
266,112,1,194
267,117,2,219
268,120,1,219
269,116,0,208
270,115,0,207
271,116,0,221
272,117,1,227
273,118,1,227
274,116,0,226
275,115,0,223
276,115,1,222
277,114,0,213
278,116,0,213
279,115,0,211
280,115,0,210
281,116,0,216
282,115,0,209
283,115,0,207
284,115,0,206
285,115,0,202
286,113,0,195
287,113,0,200
288,114,-1,205
289,113,-1,203
290,113,0,202
291,113,-1,199
292,114,-1,199
293,113,-1,196
294,114,-2,200
295,114,-1,195
296,115,-1,203
297,115,-1,202
298,114,-1,197
299,115,-1,200
300,115,-1,202
301,112,-1,196
302,112,-1,193
303,112,-1,193
304,113,-1,197
305,114,-1,196
306,114,-2,197
307,114,-2,196
308,115,-2,197
309,114,-2,197
310,114,-2,195
311,115,-1,196
312,114,-1,192
