,time,value
0,1621155135497,77
1,1621155135498,92
2,1621155135499,86
3,1621155135499,67
4,1621155135502,26
5,1621155135500,67
6,1621155135502,39
7,1621155135501,35
8,1621155135504,74
9,1621155135505,84
10,1621155135506,58
11,1621155135507,69
12,1621155135500,66
13,1621155135501,53
14,1621155135510,55
15,1621155135511,64
16,1621155135507,58
17,1621155135513,65
18,1621155135514,50
19,1621155135515,35
20,1621155135516,23
21,1621155135516,16
22,1621155135517,26
23,1621155135518,55
24,1621155135518,54
25,1621155135520,37
26,1621155135521,41
27,1621155135519,44
30,1621155135505,66
31,1621155135524,22
32,1621155135519,37
33,1621155135506,68
34,1621155135522,48
35,1621155135523,57
36,1621155135523,54
37,1621155135524,-3
38,1621155135524,-3
39,1621155135517,44
40,1621155135525,7
41,1621155135525,8
42,1621155135528,5
43,1621155135526,2
44,1621155135500,59
45,1621155135539,26
46,1621155135542,34
47,1621155135543,12
48,1621155135540,23
49,1621155135541,44
50,1621155135541,50
51,1621155135545,23
53,1621155135546,42
54,1621155135549,38
55,1621155135549,29
56,1621155135539,24
57,1621155135540,28
58,1621155135549,25
59,1621155135534,13
60,1621155135553,24
61,1621155135548,45
62,1621155135557,24
63,1621155135555,24
64,1621155135558,28
65,1621155135559,38
66,1621155135560,42
67,1621155135561,65
68,1621155135560,45
69,1621155135562,83
70,1621155135563,89
71,1621155135559,35
72,1621155135564,91
73,1621155135565,92
74,1621155135569,84
75,1621155135571,72
76,1621155135571,76
77,1621155135569,71
78,1621155135572,60
79,1621155135573,48
80,1621155135572,72
81,1621155135573,45
82,1621155135577,83
83,1621155135582,93
84,1621155135584,90
85,1621155135586,64
86,1621155135585,80
87,1621155135585,68
88,1621155135577,64
89,1621155135645,60
90,1621155135655,13
91,1621155135659,54
92,1621155135656,40
93,1621155135660,67
94,1621155135662,56
95,1621155135663,32
96,1621155135665,53
97,1621155135662,34
98,1621155135666,49
99,1621155135662,48
100,1621155135666,35
101,1621155135669,12
102,1621155135668,12
103,1621155135669,3
104,1621155135660,64
105,1621155135668,19
106,1621155135646,64
107,1621155135645,65
108,1621155135646,45
109,1621155135648,35
110,1621155135649,37
111,1621155135649,44
112,1621155135649,52
113,1621155135650,54
114,1621155135650,55
115,1621155135677,-5
116,1621155135651,50
117,1621155135651,54
118,1621155135651,49
119,1621155135654,35
120,1621155135677,-3
121,1621155135654,8
122,1621155135654,-4
123,1621155135655,1
124,1621155135656,38
125,1621155135655,33
126,1621155135656,35
127,1621155135678,12
128,1621155135665,44
129,1621155135685,4
130,1621155135685,16
131,1621155135683,24
132,1621155135687,4
133,1621155135689,20
134,1621155135690,21
135,1621155135690,17
136,1621155135689,12
137,1621155135693,26
138,1621155135694,9
139,1621155135696,9
140,1621155135694,22
141,1621155135693,37
142,1621155135698,38
143,1621155135699,48
144,1621155135699,54
145,1621155135701,52
146,1621155135701,37
147,1621155135702,43
148,1621155135703,57
149,1621155135704,68
150,1621155135702,28
151,1621155135707,64
152,1621155135707,68
153,1621155135701,26
154,1621155135710,58
155,1621155135710,43
156,1621155135713,69
157,1621155135711,60
158,1621155135716,71
159,1621155135716,69
160,1621155135717,60
161,1621155135715,72
162,1621155135702,36
163,1621155135719,44
164,1621155135711,53
165,1621155135716,68
166,1621155135697,21
169,1621155135877,40
170,1621155135878,39
172,1621155135877,36
173,1621155135878,33
174,1621155135877,33
175,1621155135877,21
176,1621155135878,22
177,1621155135878,43
178,1621155135875,35
179,1621155135894,18
180,1621155135894,42
181,1621155135895,20
182,1621155135896,25
183,1621155135894,51
184,1621155135896,18
185,1621155135896,19
186,1621155135895,44
187,1621155135895,11
188,1621155135896,26
189,1621155135895,23
190,1621155135894,27
191,1621155135895,10
192,1621155135950,86
193,1621155135950,84
194,1621155135950,69
195,1621155135951,42
196,1621155135951,40
197,1621155135950,60
198,1621155135954,73
199,1621155135956,72
200,1621155135956,74
201,1621155135951,50
202,1621155135949,32
203,1621155135951,64
204,1621155135951,53
205,1621155135969,82
206,1621155135969,88
207,1621155135970,89
208,1621155135970,81
209,1621155135970,66
210,1621155135970,89
211,1621155135973,73
212,1621155135974,74
213,1621155135974,66
214,1621155135969,73
215,1621155135974,68
216,1621155135973,65
217,1621155135987,74
218,1621155135987,59
219,1621155135987,53
220,1621155135987,54
221,1621155135988,53
222,1621155135988,51
223,1621155135989,70
224,1621155135989,50
225,1621155135989,38
226,1621155135989,67
227,1621155135986,77
228,1621155135988,45
229,1621155136001,38
230,1621155136001,36
231,1621155136001,40
232,1621155136002,45
233,1621155136002,25
234,1621155136003,3
235,1621155136002,-2
236,1621155136003,10
237,1621155136002,5
238,1621155136000,36
239,1621155136002,-2
240,1621155136001,50
241,1621155136003,24
242,1621155136027,34
243,1621155136028,17
244,1621155136028,27
245,1621155136029,43
246,1621155136029,34
247,1621155136029,41
248,1621155136028,22
249,1621155136027,39
250,1621155136028,17
251,1621155136027,38
252,1621155136027,23
253,1621155136029,34
254,1621155136064,38
255,1621155136064,54
256,1621155136066,41
257,1621155136067,32
258,1621155136067,12
259,1621155136067,34
260,1621155136067,41
261,1621155136068,4
262,1621155136067,45
263,1621155136066,60
264,1621155136066,56
265,1621155136067,28
266,1621155136068,2
267,1621155136094,27
268,1621155136094,43
269,1621155136094,40
270,1621155136095,12
271,1621155136095,13
272,1621155136094,33
273,1621155136095,3
274,1621155136095,-8
275,1621155136095,22
276,1621155136102,51
277,1621155136102,25
278,1621155136102,21
279,1621155136102,65
280,1621155136103,-14
281,1621155136096,32
282,1621155136095,-4
283,1621155136104,-12
284,1621155136094,10
285,1621155136103,-10
286,1621155136101,43
287,1621155136102,60
288,1621155136103,6
289,1621155136103,20
290,1621155136103,22
291,1621155136119,-10
292,1621155136119,1
293,1621155136120,11
294,1621155136120,16
295,1621155136120,49
296,1621155136121,50
297,1621155136121,24
298,1621155136121,44
299,1621155136120,6
300,1621155136120,9
301,1621155136120,28
302,1621155136120,40
303,1621155136121,10
304,1621155136138,40
305,1621155136138,53
306,1621155136139,32
307,1621155136139,0
308,1621155136139,1
309,1621155136139,34
310,1621155136139,16
311,1621155136139,53
312,1621155136138,18
313,1621155136139,45
314,1621155136138,45
315,1621155136139,13
316,1621155136174,53
317,1621155136175,44
318,1621155136175,70
319,1621155136176,66
320,1621155136176,72
321,1621155136175,60
322,1621155136176,75
323,1621155136176,75
324,1621155136175,53
325,1621155136175,48
326,1621155136175,39
327,1621155136176,72
328,1621155136175,67
329,1621155136193,48
330,1621155136193,60
331,1621155136193,50
345,1621155136207,66
349,1621155136408,44
350,1621155136408,39
351,1621155136408,42
352,1621155136408,44
353,1621155136409,43
354,1621155136409,39
355,1621155136408,38
356,1621155136407,57
357,1621155136413,37
358,1621155136414,39
359,1621155136418,43
360,1621155136418,48
361,1621155136419,50
362,1621155136420,50
363,1621155136421,52
364,1621155136421,58
365,1621155136418,27
366,1621155136422,56
367,1621155136423,43
368,1621155136423,34
369,1621155136423,38
370,1621155136423,50
371,1621155136423,55
372,1621155136414,42
373,1621155136417,29
374,1621155136426,-1
375,1621155136427,-3
376,1621155136427,-2
377,1621155136409,34
378,1621155136429,7
379,1621155136430,7
380,1621155136430,13
381,1621155136432,33
382,1621155136429,2
383,1621155136429,-4
384,1621155136418,36
385,1621155136435,34
386,1621155136436,16
387,1621155136434,41
388,1621155136435,18
389,1621155136438,25
390,1621155136447,37
391,1621155136438,24
392,1621155136426,13
393,1621155136437,24
394,1621155136426,38
395,1621155136441,37
396,1621155136441,26
397,1621155136441,10
398,1621155136441,35
399,1621155136440,13
400,1621155136443,52
401,1621155136441,19
402,1621155136443,21
403,1621155136443,39
404,1621155136440,23
405,1621155136447,38
406,1621155136440,19
407,1621155136443,43
408,1621155136438,29
409,1621155136430,5
410,1621155136432,20
411,1621155136445,16
412,1621155136445,28
413,1621155136447,40
414,1621155136454,52
415,1621155136455,43
416,1621155136451,49
417,1621155136462,-5
418,1621155136462,6
419,1621155136453,42
420,1621155136462,-1
421,1621155136452,27
422,1621155136459,53
423,1621155136453,57
424,1621155136450,52
425,1621155136453,58
426,1621155136453,65
427,1621155136459,59
428,1621155136460,41
429,1621155136457,52
430,1621155136454,44
431,1621155136451,35
432,1621155136461,51
433,1621155136461,52
434,1621155136461,40
435,1621155136461,33
436,1621155136447,28
437,1621155136458,58
438,1621155136452,23
439,1621155136461,32
440,1621155136461,38
441,1621155136458,52
442,1621155136456,52
443,1621155136460,49
444,1621155136461,29
445,1621155136477,29
446,1621155136477,10
447,1621155136476,4
448,1621155136534,52
449,1621155136534,56
450,1621155136535,50
451,1621155136535,48
452,1621155136535,50
453,1621155136539,34
454,1621155136539,42
455,1621155136541,65
456,1621155136541,71
457,1621155136541,59
458,1621155136538,37
459,1621155136545,53
460,1621155136545,53
461,1621155136547,44
462,1621155136549,41
463,1621155136549,49
464,1621155136550,55
465,1621155136552,37
466,1621155136552,26
467,1621155136552,40
468,1621155136553,58
469,1621155136553,76
470,1621155136552,27
471,1621155136555,80
472,1621155136556,44
473,1621155136555,66
474,1621155136551,52
475,1621155136558,27
476,1621155136559,23
477,1621155136559,25
478,1621155136559,25
479,1621155136559,25
480,1621155136558,28
481,1621155136558,33
482,1621155136561,37
483,1621155136564,5
484,1621155136563,6
485,1621155136562,36
486,1621155136566,8
487,1621155136565,11
488,1621155136569,-19
489,1621155136569,18
490,1621155136569,59
491,1621155136569,58
492,1621155136568,-12
493,1621155136569,3
494,1621155136571,36
495,1621155136568,-3
496,1621155136563,28
497,1621155136571,21
498,1621155136563,25
499,1621155136571,43
500,1621155136569,24
501,1621155136573,56
502,1621155136573,54
503,1621155136563,34
504,1621155136568,-2
505,1621155136575,49
506,1621155136563,28
507,1621155136563,12
508,1621155136577,49
509,1621155136577,56
511,1621155136578,34
513,1621155136581,21
514,1621155136581,64
515,1621155136581,35
517,1621155136583,55
518,1621155136583,53
519,1621155136584,43
520,1621155136582,43
521,1621155136584,37
522,1621155136586,35
523,1621155136586,29
524,1621155136581,45
525,1621155136587,6
526,1621155136587,19
527,1621155136589,33
528,1621155136589,28
529,1621155136590,20
530,1621155136590,12
531,1621155136590,26
532,1621155136589,19
533,1621155136587,6
534,1621155136592,11
535,1621155136586,34
536,1621155136581,67
537,1621155136592,16
538,1621155136592,19
539,1621155136592,19
540,1621155136587,36
541,1621155136578,19
542,1621155136587,22
543,1621155136596,17
544,1621155136596,20
545,1621155136577,42
546,1621155136563,32
547,1621155136594,20
548,1621155136561,33
549,1621155136646,34
550,1621155136645,16
551,1621155136646,22
552,1621155136648,42
553,1621155136650,57
554,1621155136650,51
555,1621155136652,64
556,1621155136652,64
557,1621155136655,59
558,1621155136655,52
559,1621155136656,64
560,1621155136655,68
561,1621155136658,86
562,1621155136659,90
563,1621155136658,80
564,1621155136659,93
565,1621155136660,101
566,1621155136659,97
567,1621155136660,97
568,1621155136655,65
569,1621155136665,98
570,1621155136665,105
571,1621155136668,72
572,1621155136667,82
573,1621155136668,76
574,1621155136669,85
575,1621155136671,61
576,1621155136672,44
577,1621155136672,52
578,1621155136673,68
579,1621155136674,32
580,1621155136673,68
581,1621155136674,43
582,1621155136674,58
583,1621155136676,39
584,1621155136673,72
585,1621155136700,38
586,1621155136700,41
587,1621155136701,44
588,1621155136700,49
589,1621155136703,51
590,1621155136703,58
591,1621155136703,38
592,1621155136704,25
593,1621155136703,56
594,1621155136705,26
595,1621155136706,41
596,1621155136706,43
597,1621155136708,40
598,1621155136708,27
599,1621155136708,33
600,1621155136708,28
601,1621155136706,35
602,1621155136708,38
603,1621155136711,54
604,1621155136710,44
605,1621155136711,53
606,1621155136712,44
607,1621155136713,26
608,1621155136713,28
609,1621155136711,48
610,1621155136712,34
611,1621155136738,38
612,1621155136739,41
613,1621155136739,33
614,1621155136741,26
615,1621155136741,38
616,1621155136742,38
617,1621155136742,29
618,1621155136742,38
619,1621155136742,43
620,1621155136744,49
621,1621155136742,43
622,1621155136741,22
623,1621155136760,58
624,1621155136759,48
625,1621155136760,66
626,1621155136760,53
627,1621155136762,36
628,1621155136762,17
629,1621155136764,5
630,1621155136765,37
631,1621155136765,35
632,1621155136766,26
633,1621155136764,10
634,1621155136765,32
635,1621155136775,34
636,1621155136776,41
637,1621155136776,49
638,1621155136776,44
639,1621155136776,39
640,1621155136776,57
641,1621155136776,60
642,1621155136776,41
643,1621155136776,54
644,1621155136776,39
645,1621155136777,33
646,1621155136777,22
647,1621155136775,27
648,1621155136813,22
649,1621155136813,41
650,1621155136813,52
651,1621155136814,55
