,DELTA,LOALPHA,HIBETA,MIDGAMMA,ATTENTION,MEDITATION,APPRECIATION,MENTAL_EFFORT,LOGAMMA,FAMILIARITY,LOBETA,THETA,HIALPHA,time
0,4574,5229,3500,1939,41,69,1,0,2321,0,2900,18008,7167,1621155136201
1,4921,4517,2310,2982,60,80,2,0,1837,0,7451,10039,8618,1621155138232
2,18120,4992,3630,1281,60,77,2,0,2130,0,2691,16533,5914,1621155139200
3,12704,4261,2206,3097,64,78,2,0,1600,0,6744,3206,3052,1621155140194
4,44641,8275,4713,2752,60,83,2,0,1911,0,2612,16360,10178,1621155142218
5,26958,11165,2658,1769,50,84,2,0,2591,0,1346,35802,9155,1621155143175
6,23029,3309,3468,486,48,83,2,0,2561,0,2931,10437,5952,1621155144184
7,17835,1941,2893,5734,53,69,2,0,3889,0,2266,14808,7376,1621155146210
8,9513,1912,3016,3954,69,66,2,0,4787,0,1823,6815,2585,1621155147164
9,21167,1029,3489,1641,60,57,2,0,3085,0,7862,39821,10634,1621155148194
10,7319,2992,2369,1687,57,60,1,0,1911,0,2832,9300,1693,1621155150181
11,5617,4012,5477,2483,63,57,1,0,4936,0,13714,5673,4132,1621155151141
12,19594,4261,3739,657,64,60,2,0,2142,0,2243,32803,5868,1621155152152
13,11758,6054,1654,3466,57,43,2,0,1970,0,9480,21410,1148,1621155154138
14,20848,9404,4146,2878,48,47,2,0,4337,0,4428,21057,4864,1621155155151
15,6435,227,4733,806,69,48,2,0,1121,0,619,2127,1847,1621155156149
16,3197,1696,6500,580,81,57,2,0,1235,0,2114,7111,4820,1621155158169
17,10520,2394,3864,2367,87,60,2,0,1619,0,2186,11502,6397,1621155159163
18,16558,11428,3714,1293,66,74,2,0,2762,0,5269,10649,8591,1621155160174
19,34947,17046,4832,1041,43,80,2,0,3700,0,4276,21042,17608,1621155162126
20,28224,12194,2003,934,27,78,1,0,2073,0,2548,31453,2521,1621155163117
21,37092,10428,2624,612,14,57,1,0,1740,0,3569,69265,2418,1621155164094
22,7998,3399,4062,774,37,47,2,0,902,0,1773,26511,2132,1621155166118
23,10208,1491,4183,1088,48,29,2,0,1784,0,2965,26635,2148,1621155167114
24,4344,9751,3925,596,60,41,2,0,1479,0,2821,24920,4146,1621155168106
25,4480,3440,4881,1457,63,51,2,0,866,0,2593,7846,2526,1621155170075
26,6131,5729,2642,1169,61,69,2,0,3332,0,2347,9160,1620,1621155172099
27,10796,767,6367,2238,70,63,2,0,3408,0,5522,15648,8408,1621155174087
28,40745,6448,2257,4754,67,50,2,0,1901,0,2332,41360,4602,1621155176056
29,36488,1012,4932,992,47,38,2,0,1798,0,774,25464,3749,1621155178082
30,22478,3258,2624,915,34,21,2,0,2305,0,2998,52298,1242,1621155179056
31,6217,10217,5238,2315,50,34,2,0,1759,0,1199,11676,1359,1621155180070
32,23066,14645,4137,1211,43,56,2,0,1375,0,8567,14652,8701,1621155182074
33,69761,12355,3480,431,43,70,2,0,1279,0,1987,53817,4886,1621155183086
34,7281,4928,2450,1060,40,70,2,0,1194,0,1056,8363,2383,1621155184025
35,6015,23509,3441,696,47,75,2,0,2505,0,7236,8008,2751,1621155186032
36,15649,27050,3211,1138,48,90,2,0,4395,0,6746,18439,5354,1621155187025
37,10485,825,2894,672,48,70,2,0,2383,0,5148,16149,2174,1621155188020
38,3399,727,3481,756,38,30,2,0,885,0,5602,16205,629,1621155190024
39,9088,14047,2016,1364,37,21,1,0,963,0,3637,25167,2199,1621155191000
40,2393,2689,4295,1169,35,23,1,0,4109,0,4824,27289,2605,1621155192014
41,7270,2293,6436,1252,66,29,1,0,1357,0,3207,3112,2222,1621155193016
42,20651,3834,1521,1316,51,43,1,0,1520,0,1922,32221,2722,1621155193982
43,5282,11505,3985,1052,66,53,1,0,1096,0,1093,4544,1752,1621155194994
44,30294,4951,888,748,37,63,2,0,1644,0,935,15640,1338,1621155197000
45,15734,4938,1897,2014,44,70,2,0,1360,0,2285,11465,2215,1621155197994
46,5379,1264,2393,714,41,67,2,0,1292,0,4538,5133,8973,1621155198989
47,11202,2715,3316,1121,56,81,2,0,987,0,972,1925,11259,1621155200975
48,39574,12179,3067,1166,50,77,2,0,1800,0,4762,45832,2621,1621155202005
49,15380,8709,3389,861,44,64,2,0,4632,0,3763,27538,3152,1621155202982
50,86400,22296,5375,780,30,54,2,0,3214,0,1782,124711,735,1621155204969
51,8294,3523,3225,797,41,63,2,0,2165,0,4268,11958,6741,1621155205981
52,7582,1006,4665,798,61,61,2,0,1460,0,2060,3649,2303,1621155206974
53,7667,1963,3195,788,51,50,2,0,956,0,3190,50515,18141,1621155208944
54,13959,5255,5687,665,54,44,1,0,976,0,2281,18883,2489,1621155209993
55,12333,4224,3092,576,38,40,2,0,1827,0,4590,20256,1492,1621155210931
56,30454,7115,3407,716,56,54,2,0,1466,0,1136,16228,3805,1621155212937
57,2123,3422,4708,1002,57,61,2,0,1046,0,6254,5726,1478,1621155214925
58,12488,1133,1232,800,69,66,2,0,1485,0,2516,1934,2243,1621155216913
59,6799,5110,3615,852,80,75,2,0,1668,0,816,7787,4407,1621155217907
60,1411,1284,1294,1282,70,80,2,0,1298,0,1966,3621,2018,1621155218938
61,3038,3206,2212,1012,74,78,2,0,2116,0,4327,7738,2858,1621155220888
62,8543,23334,3212,1185,64,87,2,0,1583,0,2954,8146,1594,1621155221937
63,8638,5041,3118,1134,64,88,2,0,669,0,3476,8911,3731,1621155222911
64,57479,8102,2713,2859,56,87,2,0,1490,0,1763,18086,1717,1621155224918
65,9972,935,3513,2017,60,69,2,0,1427,0,3194,17940,8545,1621155225894
66,10350,6221,3339,1083,60,67,2,0,1921,0,2211,11641,1924,1621155226906
67,7688,5988,5609,1225,64,66,2,0,2213,0,1892,4129,2119,1621155228948
68,2727,6600,4365,2247,70,70,2,0,2492,0,2804,7688,2534,1621155229885
69,1944,512,3985,2237,69,63,2,0,2148,0,189,20377,4110,1621155230883
70,8024,2177,3130,2730,64,57,2,0,4488,0,3245,5540,1720,1621155232870
71,14159,1928,5061,2212,61,51,2,0,2918,0,1289,17815,4859,1621155233881
72,8394,472,3495,2657,60,80,2,0,1678,0,1452,6784,5792,1621155236863
73,3717,815,2651,415,64,84,2,0,2558,0,4352,3878,3709,1621155237838
74,18994,2002,3804,623,78,77,2,0,1265,0,2475,4873,5698,1621155238849
75,3317,2740,2382,810,78,77,2,0,624,0,2474,5714,2948,1621155240835
