,time,signals,value
0,08:52:15.497000,RAW,77
1,08:52:15.498000,RAW,92
2,08:52:15.499000,RAW,86
3,08:52:15.499000,RAW,67
4,08:52:15.502000,RAW,26
5,08:52:15.500000,RAW,67
6,08:52:15.502000,RAW,39
7,08:52:15.501000,RAW,35
8,08:52:15.504000,RAW,74
9,08:52:15.505000,RAW,84
10,08:52:15.506000,RAW,58
11,08:52:15.507000,RAW,69
12,08:52:15.500000,RAW,66
13,08:52:15.501000,RAW,53
14,08:52:15.510000,RAW,55
15,08:52:15.511000,RAW,64
16,08:52:15.507000,RAW,58
17,08:52:15.513000,RAW,65
18,08:52:15.514000,RAW,50
19,08:52:15.515000,RAW,35
20,08:52:15.516000,RAW,23
21,08:52:15.516000,RAW,16
22,08:52:15.517000,RAW,26
23,08:52:15.518000,RAW,55
24,08:52:15.518000,RAW,54
25,08:52:15.520000,RAW,37
26,08:52:15.521000,RAW,41
27,08:52:15.519000,RAW,44
28,08:52:15.526000,ROLL,111
29,08:52:15.526000,PITCH,2
30,08:52:15.505000,RAW,66
31,08:52:15.524000,RAW,22
32,08:52:15.519000,RAW,37
33,08:52:15.506000,RAW,68
34,08:52:15.522000,RAW,48
35,08:52:15.523000,RAW,57
36,08:52:15.523000,RAW,54
37,08:52:15.524000,RAW,-3
38,08:52:15.524000,RAW,-3
39,08:52:15.517000,RAW,44
40,08:52:15.525000,RAW,7
41,08:52:15.525000,RAW,8
42,08:52:15.528000,RAW,5
43,08:52:15.526000,RAW,2
44,08:52:15.500000,RAW,59
45,08:52:15.539000,RAW,26
46,08:52:15.542000,RAW,34
47,08:52:15.543000,RAW,12
48,08:52:15.540000,RAW,23
49,08:52:15.541000,RAW,44
50,08:52:15.541000,RAW,50
51,08:52:15.545000,RAW,23
52,08:52:15.526000,YAW,187
53,08:52:15.546000,RAW,42
54,08:52:15.549000,RAW,38
55,08:52:15.549000,RAW,29
56,08:52:15.539000,RAW,24
57,08:52:15.540000,RAW,28
58,08:52:15.549000,RAW,25
59,08:52:15.534000,RAW,13
60,08:52:15.553000,RAW,24
61,08:52:15.548000,RAW,45
62,08:52:15.557000,RAW,24
63,08:52:15.555000,RAW,24
64,08:52:15.558000,RAW,28
65,08:52:15.559000,RAW,38
66,08:52:15.560000,RAW,42
67,08:52:15.561000,RAW,65
68,08:52:15.560000,RAW,45
69,08:52:15.562000,RAW,83
70,08:52:15.563000,RAW,89
71,08:52:15.559000,RAW,35
72,08:52:15.564000,RAW,91
73,08:52:15.565000,RAW,92
74,08:52:15.569000,RAW,84
75,08:52:15.571000,RAW,72
76,08:52:15.571000,RAW,76
77,08:52:15.569000,RAW,71
78,08:52:15.572000,RAW,60
79,08:52:15.573000,RAW,48
80,08:52:15.572000,RAW,72
81,08:52:15.573000,RAW,45
82,08:52:15.577000,RAW,83
83,08:52:15.582000,RAW,93
84,08:52:15.584000,RAW,90
85,08:52:15.586000,RAW,64
86,08:52:15.585000,RAW,80
87,08:52:15.585000,RAW,68
88,08:52:15.577000,RAW,64
89,08:52:15.645000,RAW,60
90,08:52:15.655000,RAW,13
91,08:52:15.659000,RAW,54
92,08:52:15.656000,RAW,40
93,08:52:15.660000,RAW,67
94,08:52:15.662000,RAW,56
95,08:52:15.663000,RAW,32
96,08:52:15.665000,RAW,53
97,08:52:15.662000,RAW,34
98,08:52:15.666000,RAW,49
99,08:52:15.662000,RAW,48
100,08:52:15.666000,RAW,35
101,08:52:15.669000,RAW,12
102,08:52:15.668000,RAW,12
103,08:52:15.669000,RAW,3
104,08:52:15.660000,RAW,64
105,08:52:15.668000,RAW,19
106,08:52:15.646000,RAW,64
107,08:52:15.645000,RAW,65
108,08:52:15.646000,RAW,45
109,08:52:15.648000,RAW,35
110,08:52:15.649000,RAW,37
111,08:52:15.649000,RAW,44
112,08:52:15.649000,RAW,52
113,08:52:15.650000,RAW,54
114,08:52:15.650000,RAW,55
115,08:52:15.677000,RAW,-5
116,08:52:15.651000,RAW,50
117,08:52:15.651000,RAW,54
118,08:52:15.651000,RAW,49
119,08:52:15.654000,RAW,35
120,08:52:15.677000,RAW,-3
121,08:52:15.654000,RAW,8
122,08:52:15.654000,RAW,-4
123,08:52:15.655000,RAW,1
124,08:52:15.656000,RAW,38
125,08:52:15.655000,RAW,33
126,08:52:15.656000,RAW,35
127,08:52:15.678000,RAW,12
128,08:52:15.665000,RAW,44
129,08:52:15.685000,RAW,4
130,08:52:15.685000,RAW,16
131,08:52:15.683000,RAW,24
132,08:52:15.687000,RAW,4
133,08:52:15.689000,RAW,20
134,08:52:15.690000,RAW,21
135,08:52:15.690000,RAW,17
136,08:52:15.689000,RAW,12
137,08:52:15.693000,RAW,26
138,08:52:15.694000,RAW,9
139,08:52:15.696000,RAW,9
140,08:52:15.694000,RAW,22
141,08:52:15.693000,RAW,37
142,08:52:15.698000,RAW,38
143,08:52:15.699000,RAW,48
144,08:52:15.699000,RAW,54
145,08:52:15.701000,RAW,52
146,08:52:15.701000,RAW,37
147,08:52:15.702000,RAW,43
148,08:52:15.703000,RAW,57
149,08:52:15.704000,RAW,68
150,08:52:15.702000,RAW,28
151,08:52:15.707000,RAW,64
152,08:52:15.707000,RAW,68
153,08:52:15.701000,RAW,26
154,08:52:15.710000,RAW,58
155,08:52:15.710000,RAW,43
156,08:52:15.713000,RAW,69
157,08:52:15.711000,RAW,60
158,08:52:15.716000,RAW,71
159,08:52:15.716000,RAW,69
160,08:52:15.717000,RAW,60
161,08:52:15.715000,RAW,72
162,08:52:15.702000,RAW,36
163,08:52:15.719000,RAW,44
164,08:52:15.711000,RAW,53
165,08:52:15.716000,RAW,68
166,08:52:15.697000,RAW,21
167,08:52:15.876000,YAW,194
168,08:52:15.876000,ROLL,113
169,08:52:15.877000,RAW,40
170,08:52:15.878000,RAW,39
171,08:52:15.876000,PITCH,2
172,08:52:15.877000,RAW,36
173,08:52:15.878000,RAW,33
174,08:52:15.877000,RAW,33
175,08:52:15.877000,RAW,21
176,08:52:15.878000,RAW,22
177,08:52:15.878000,RAW,43
178,08:52:15.875000,RAW,35
179,08:52:15.894000,RAW,18
180,08:52:15.894000,RAW,42
181,08:52:15.895000,RAW,20
182,08:52:15.896000,RAW,25
183,08:52:15.894000,RAW,51
184,08:52:15.896000,RAW,18
185,08:52:15.896000,RAW,19
186,08:52:15.895000,RAW,44
187,08:52:15.895000,RAW,11
188,08:52:15.896000,RAW,26
189,08:52:15.895000,RAW,23
190,08:52:15.894000,RAW,27
191,08:52:15.895000,RAW,10
192,08:52:15.950000,RAW,86
193,08:52:15.950000,RAW,84
194,08:52:15.950000,RAW,69
195,08:52:15.951000,RAW,42
196,08:52:15.951000,RAW,40
197,08:52:15.950000,RAW,60
198,08:52:15.954000,RAW,73
199,08:52:15.956000,RAW,72
200,08:52:15.956000,RAW,74
201,08:52:15.951000,RAW,50
202,08:52:15.949000,RAW,32
203,08:52:15.951000,RAW,64
204,08:52:15.951000,RAW,53
205,08:52:15.969000,RAW,82
206,08:52:15.969000,RAW,88
207,08:52:15.970000,RAW,89
208,08:52:15.970000,RAW,81
209,08:52:15.970000,RAW,66
210,08:52:15.970000,RAW,89
211,08:52:15.973000,RAW,73
212,08:52:15.974000,RAW,74
213,08:52:15.974000,RAW,66
214,08:52:15.969000,RAW,73
215,08:52:15.974000,RAW,68
216,08:52:15.973000,RAW,65
217,08:52:15.987000,RAW,74
218,08:52:15.987000,RAW,59
219,08:52:15.987000,RAW,53
220,08:52:15.987000,RAW,54
221,08:52:15.988000,RAW,53
222,08:52:15.988000,RAW,51
223,08:52:15.989000,RAW,70
224,08:52:15.989000,RAW,50
225,08:52:15.989000,RAW,38
226,08:52:15.989000,RAW,67
227,08:52:15.986000,RAW,77
228,08:52:15.988000,RAW,45
229,08:52:16.001000,RAW,38
230,08:52:16.001000,RAW,36
231,08:52:16.001000,RAW,40
232,08:52:16.002000,RAW,45
233,08:52:16.002000,RAW,25
234,08:52:16.003000,RAW,3
235,08:52:16.002000,RAW,-2
236,08:52:16.003000,RAW,10
237,08:52:16.002000,RAW,5
238,08:52:16,RAW,36
239,08:52:16.002000,RAW,-2
240,08:52:16.001000,RAW,50
241,08:52:16.003000,RAW,24
242,08:52:16.027000,RAW,34
243,08:52:16.028000,RAW,17
244,08:52:16.028000,RAW,27
245,08:52:16.029000,RAW,43
246,08:52:16.029000,RAW,34
247,08:52:16.029000,RAW,41
248,08:52:16.028000,RAW,22
249,08:52:16.027000,RAW,39
250,08:52:16.028000,RAW,17
251,08:52:16.027000,RAW,38
252,08:52:16.027000,RAW,23
