,time,value
0,08:52:15.497000,77
1,08:52:15.498000,92
2,08:52:15.499000,86
3,08:52:15.499000,67
4,08:52:15.502000,26
5,08:52:15.500000,67
6,08:52:15.502000,39
7,08:52:15.501000,35
8,08:52:15.504000,74
9,08:52:15.505000,84
10,08:52:15.506000,58
11,08:52:15.507000,69
12,08:52:15.500000,66
13,08:52:15.501000,53
14,08:52:15.510000,55
15,08:52:15.511000,64
16,08:52:15.507000,58
17,08:52:15.513000,65
18,08:52:15.514000,50
19,08:52:15.515000,35
20,08:52:15.516000,23
21,08:52:15.516000,16
22,08:52:15.517000,26
23,08:52:15.518000,55
24,08:52:15.518000,54
25,08:52:15.520000,37
26,08:52:15.521000,41
27,08:52:15.519000,44
30,08:52:15.505000,66
31,08:52:15.524000,22
32,08:52:15.519000,37
33,08:52:15.506000,68
34,08:52:15.522000,48
35,08:52:15.523000,57
36,08:52:15.523000,54
37,08:52:15.524000,-3
38,08:52:15.524000,-3
39,08:52:15.517000,44
40,08:52:15.525000,7
41,08:52:15.525000,8
42,08:52:15.528000,5
43,08:52:15.526000,2
44,08:52:15.500000,59
45,08:52:15.539000,26
46,08:52:15.542000,34
47,08:52:15.543000,12
48,08:52:15.540000,23
49,08:52:15.541000,44
50,08:52:15.541000,50
51,08:52:15.545000,23
53,08:52:15.546000,42
54,08:52:15.549000,38
55,08:52:15.549000,29
56,08:52:15.539000,24
57,08:52:15.540000,28
58,08:52:15.549000,25
59,08:52:15.534000,13
60,08:52:15.553000,24
61,08:52:15.548000,45
62,08:52:15.557000,24
63,08:52:15.555000,24
64,08:52:15.558000,28
65,08:52:15.559000,38
66,08:52:15.560000,42
67,08:52:15.561000,65
68,08:52:15.560000,45
69,08:52:15.562000,83
70,08:52:15.563000,89
71,08:52:15.559000,35
72,08:52:15.564000,91
73,08:52:15.565000,92
74,08:52:15.569000,84
75,08:52:15.571000,72
76,08:52:15.571000,76
77,08:52:15.569000,71
78,08:52:15.572000,60
79,08:52:15.573000,48
80,08:52:15.572000,72
81,08:52:15.573000,45
82,08:52:15.577000,83
83,08:52:15.582000,93
84,08:52:15.584000,90
85,08:52:15.586000,64
86,08:52:15.585000,80
87,08:52:15.585000,68
88,08:52:15.577000,64
89,08:52:15.645000,60
90,08:52:15.655000,13
91,08:52:15.659000,54
92,08:52:15.656000,40
93,08:52:15.660000,67
94,08:52:15.662000,56
95,08:52:15.663000,32
96,08:52:15.665000,53
97,08:52:15.662000,34
98,08:52:15.666000,49
99,08:52:15.662000,48
100,08:52:15.666000,35
101,08:52:15.669000,12
102,08:52:15.668000,12
103,08:52:15.669000,3
104,08:52:15.660000,64
105,08:52:15.668000,19
106,08:52:15.646000,64
107,08:52:15.645000,65
108,08:52:15.646000,45
109,08:52:15.648000,35
110,08:52:15.649000,37
111,08:52:15.649000,44
112,08:52:15.649000,52
113,08:52:15.650000,54
114,08:52:15.650000,55
115,08:52:15.677000,-5
116,08:52:15.651000,50
117,08:52:15.651000,54
118,08:52:15.651000,49
119,08:52:15.654000,35
120,08:52:15.677000,-3
121,08:52:15.654000,8
122,08:52:15.654000,-4
123,08:52:15.655000,1
124,08:52:15.656000,38
125,08:52:15.655000,33
126,08:52:15.656000,35
127,08:52:15.678000,12
128,08:52:15.665000,44
129,08:52:15.685000,4
130,08:52:15.685000,16
131,08:52:15.683000,24
132,08:52:15.687000,4
133,08:52:15.689000,20
134,08:52:15.690000,21
135,08:52:15.690000,17
136,08:52:15.689000,12
137,08:52:15.693000,26
138,08:52:15.694000,9
139,08:52:15.696000,9
140,08:52:15.694000,22
141,08:52:15.693000,37
142,08:52:15.698000,38
143,08:52:15.699000,48
144,08:52:15.699000,54
145,08:52:15.701000,52
146,08:52:15.701000,37
147,08:52:15.702000,43
148,08:52:15.703000,57
149,08:52:15.704000,68
150,08:52:15.702000,28
151,08:52:15.707000,64
152,08:52:15.707000,68
153,08:52:15.701000,26
154,08:52:15.710000,58
155,08:52:15.710000,43
156,08:52:15.713000,69
157,08:52:15.711000,60
158,08:52:15.716000,71
159,08:52:15.716000,69
160,08:52:15.717000,60
161,08:52:15.715000,72
162,08:52:15.702000,36
163,08:52:15.719000,44
164,08:52:15.711000,53
165,08:52:15.716000,68
166,08:52:15.697000,21
169,08:52:15.877000,40
170,08:52:15.878000,39
172,08:52:15.877000,36
173,08:52:15.878000,33
174,08:52:15.877000,33
175,08:52:15.877000,21
176,08:52:15.878000,22
177,08:52:15.878000,43
178,08:52:15.875000,35
179,08:52:15.894000,18
180,08:52:15.894000,42
181,08:52:15.895000,20
182,08:52:15.896000,25
183,08:52:15.894000,51
184,08:52:15.896000,18
185,08:52:15.896000,19
186,08:52:15.895000,44
187,08:52:15.895000,11
188,08:52:15.896000,26
189,08:52:15.895000,23
190,08:52:15.894000,27
191,08:52:15.895000,10
192,08:52:15.950000,86
193,08:52:15.950000,84
194,08:52:15.950000,69
195,08:52:15.951000,42
196,08:52:15.951000,40
197,08:52:15.950000,60
198,08:52:15.954000,73
199,08:52:15.956000,72
200,08:52:15.956000,74
201,08:52:15.951000,50
202,08:52:15.949000,32
203,08:52:15.951000,64
204,08:52:15.951000,53
205,08:52:15.969000,82
206,08:52:15.969000,88
207,08:52:15.970000,89
208,08:52:15.970000,81
209,08:52:15.970000,66
210,08:52:15.970000,89
211,08:52:15.973000,73
212,08:52:15.974000,74
213,08:52:15.974000,66
214,08:52:15.969000,73
215,08:52:15.974000,68
216,08:52:15.973000,65
217,08:52:15.987000,74
218,08:52:15.987000,59
219,08:52:15.987000,53
220,08:52:15.987000,54
221,08:52:15.988000,53
222,08:52:15.988000,51
223,08:52:15.989000,70
224,08:52:15.989000,50
225,08:52:15.989000,38
226,08:52:15.989000,67
227,08:52:15.986000,77
228,08:52:15.988000,45
229,08:52:16.001000,38
230,08:52:16.001000,36
231,08:52:16.001000,40
232,08:52:16.002000,45
233,08:52:16.002000,25
234,08:52:16.003000,3
235,08:52:16.002000,-2
236,08:52:16.003000,10
237,08:52:16.002000,5
238,08:52:16,36
239,08:52:16.002000,-2
240,08:52:16.001000,50
241,08:52:16.003000,24
242,08:52:16.027000,34
243,08:52:16.028000,17
244,08:52:16.028000,27
245,08:52:16.029000,43
246,08:52:16.029000,34
247,08:52:16.029000,41
248,08:52:16.028000,22
249,08:52:16.027000,39
250,08:52:16.028000,17
251,08:52:16.027000,38
252,08:52:16.027000,23
253,08:52:16.029000,34
254,08:52:16.064000,38
255,08:52:16.064000,54
256,08:52:16.066000,41
257,08:52:16.067000,32
258,08:52:16.067000,12
259,08:52:16.067000,34
260,08:52:16.067000,41
261,08:52:16.068000,4
262,08:52:16.067000,45
263,08:52:16.066000,60
264,08:52:16.066000,56
265,08:52:16.067000,28
266,08:52:16.068000,2
267,08:52:16.094000,27
268,08:52:16.094000,43
269,08:52:16.094000,40
270,08:52:16.095000,12
271,08:52:16.095000,13
272,08:52:16.094000,33
273,08:52:16.095000,3
274,08:52:16.095000,-8
275,08:52:16.095000,22
276,08:52:16.102000,51
277,08:52:16.102000,25
278,08:52:16.102000,21
279,08:52:16.102000,65
280,08:52:16.103000,-14
281,08:52:16.096000,32
282,08:52:16.095000,-4
283,08:52:16.104000,-12
284,08:52:16.094000,10
285,08:52:16.103000,-10
286,08:52:16.101000,43
287,08:52:16.102000,60
288,08:52:16.103000,6
289,08:52:16.103000,20
290,08:52:16.103000,22
291,08:52:16.119000,-10
292,08:52:16.119000,1
293,08:52:16.120000,11
294,08:52:16.120000,16
295,08:52:16.120000,49
296,08:52:16.121000,50
297,08:52:16.121000,24
298,08:52:16.121000,44
299,08:52:16.120000,6
300,08:52:16.120000,9
301,08:52:16.120000,28
302,08:52:16.120000,40
303,08:52:16.121000,10
304,08:52:16.138000,40
305,08:52:16.138000,53
306,08:52:16.139000,32
307,08:52:16.139000,0
308,08:52:16.139000,1
309,08:52:16.139000,34
310,08:52:16.139000,16
311,08:52:16.139000,53
312,08:52:16.138000,18
313,08:52:16.139000,45
314,08:52:16.138000,45
315,08:52:16.139000,13
316,08:52:16.174000,53
317,08:52:16.175000,44
318,08:52:16.175000,70
319,08:52:16.176000,66
320,08:52:16.176000,72
