,Delta,Theta,Alpha,Beta,Gamma,R
0,12043.46430650222,48424.64839749775,46660.5526362707,27722.546855618613,12476.409836726514,1.6831264774943961
1,27129.545734952953,18245.805591254404,43704.958306298875,27124.670633878482,10557.215229296891,1.611262267336502
2,12638.002822175438,49509.2370427962,22986.84922055484,31101.935027564166,7293.51902447113,0.7390809993070427
3,19050.063991645085,18346.78217759307,16593.13434712684,30212.565749260255,16259.443631613362,0.54921301569805
4,142023.8678874101,102640.58245238912,51979.40859697603,33707.4965456656,15418.344542543062,1.5420726521934478
5,50557.30297736723,102750.5049168601,65026.17255334266,27386.618078190342,22444.284023605724,2.374377601779426
6,41399.88005548211,73870.72290443676,48839.069025527395,49798.16180373282,14479.930303832172,0.980740397969197
7,18656.722701162536,67142.71989849253,22007.50052731875,26556.547628542066,13619.123294279085,0.8287033704511291
8,41110.35521237478,17432.481803054485,25836.141836002935,48072.60338362913,17106.448302373858,0.5374400389724118
9,67522.2872556429,95304.66729543808,30681.856774662585,27802.396541319606,15718.18241506636,1.103568777931196
10,30355.215864579317,38716.15887923619,22715.891622301602,29934.9714197842,15758.539122545753,0.7588412664155254
11,8663.072390272086,16450.090724914666,15491.923191764743,55097.53444594228,32450.414706974057,0.2811727121286035
12,25744.49709901098,100631.75422421093,9082.303430164106,26280.42372303354,15211.176943799692,0.3455919708860668
13,63008.72086303716,29785.361913363275,11225.043310927733,21519.550313595933,8593.149592103218,0.5216207191762652
14,47779.10897984737,83199.91824019529,42883.41210437264,26075.58351588583,16612.817095574308,1.6445811108406108
15,18017.861622827124,14030.64168996532,24166.977643840415,29547.391897370162,17967.101361716443,0.8179056116960148
16,15170.154647041181,35551.16891379526,31827.50090541955,34910.14159869252,14074.767574019692,0.9116978461815113
17,17871.054494465825,30807.329889316137,15826.404625060397,29507.70269080095,12223.21700217577,0.536348247469441
18,58636.51949652079,119199.87678187121,64867.45595870592,44936.56096032397,15991.119437746238,1.4435340527277916
19,114074.28619942466,135684.97213785085,76479.34210892962,36401.578392630196,29327.16327092438,2.1009897231383103
20,25426.361154827144,40875.7121408495,29720.542054790152,30055.50334002745,14402.48363497067,0.9888552428669127
21,186186.87393998727,150120.08299231343,30776.09754904101,32022.439920676818,9880.499751246507,0.9610790940751817
22,49955.18673064439,111486.80438104211,11901.203192303836,28621.419480024964,14030.025168540626,0.4158145685475085
23,50816.19268874984,112275.61710867782,31529.564998140842,30363.565233363242,23016.004998601566,1.0384012798173123
24,28858.377847769658,80421.70962024054,32497.753718304473,34839.09618802868,12543.049528534026,0.9327955450655826
25,12675.925704581514,9293.87864187113,21474.089632482006,32855.71395306758,13314.283268079522,0.653587673156531
26,9128.798957303497,87016.66685591445,27760.62121967906,18374.595740140074,12204.683284404735,1.5108153459417242
27,9120.19033334214,34503.80979030115,14113.105402512734,44216.15108053628,20775.68798434796,0.31918439433606083
28,19185.454268191756,32081.1559459233,19198.277333907106,76190.21062729317,31397.0120001418,0.25197826828201236
29,142760.19580986758,186665.9525813306,27672.098066329956,29600.56354700387,16014.75243231258,0.934850379533767
30,37158.98536954857,20095.065682922577,13286.78460300562,33148.103525406696,13443.257149984123,0.40083091308140245
31,19201.51330409026,24467.17160474723,17554.58747287748,24831.95976857218,10988.966310694523,0.706935241377723
32,88411.82055326909,171013.3415622287,21660.36188955937,31182.06115539302,10122.293782056056,0.694641761544142
33,24730.305770785155,60157.36104810768,26766.901781356115,28566.62663768979,9975.425872373902,0.9369990416033518
34,52272.16502842818,25828.04711561837,63332.95792362192,33651.64508501803,9071.443955168746,1.8820166967652416
35,101600.39066320221,233011.5877266817,53173.901374348985,27105.249849933673,20431.550307167345,1.9617565478548469
36,26971.635449827045,57289.17724639231,26083.759638668525,33332.5495507413,9456.917850984562,0.78253118918977
37,29095.19652705689,49535.91233208307,27086.792204922418,47569.22973064554,13340.680529183745,0.5694183479172943
38,45410.511204240276,158700.18288684846,25216.183032400448,40851.451336290775,9477.070566130205,0.6172652918697998
39,35083.365441121336,146451.70545872362,29494.453210931257,46802.992562212894,6431.011950938806,0.6301830630108907
40,76121.04053765858,231547.87651929772,80392.76950081812,29776.26320618649,19851.347718366,2.699894508056177
41,8609.125677690701,61758.66942321021,21350.728913469884,25972.65087665531,6082.899764383041,0.8220465833412602
42,33510.9487962383,56588.601485620224,13979.488658851982,29549.674476805423,9535.18055765043,0.4730843539350991
43,64686.96495594259,140122.90599825652,27760.068471320075,31079.12267873501,11280.859988185102,0.8932063095305486
44,201698.13402865164,175414.99563329504,61468.5964006025,62694.51069105941,51134.1957947085,0.9804462260420556
45,2706054.6248566285,630612.9959864443,171072.2629760625,139104.50945972,53290.51660236064,1.2298110509896827
