,Delta,Theta,Alpha,Beta,Gamma,R
0,95239.42384873176,19879.62247907939,19737.174456179382,6209.138762749871,4063.445722125887,3.1787298062313374
1,107176.08679072469,3829.552563010686,12283.58866973267,12394.426837486482,2889.085842537313,0.9910574188538847
2,107274.32883099247,9809.12545931348,3392.3456606648224,9170.207073793676,2917.841974183825,0.36993119494099097
3,108430.83116118099,2042.6898785444228,5866.866928840991,5711.981098819963,4733.380219338322,1.0271159563278363
4,142971.552791657,9810.06271788786,8660.572273810485,10620.38548150749,2901.336226452976,0.815466848062202
5,47691.53372765827,56640.58724464616,35051.594813952135,6549.208679834851,7183.002984918905,5.352035112558975
6,63926.429398630426,50783.245476065356,34375.22597266357,10172.447607496353,5147.574939151089,3.3792482693478343
7,116181.07041992064,25590.9808895167,3809.6283585350825,12654.26766211245,3657.040736397394,0.3010548267397024
8,124847.61214796972,8625.231083021758,5885.67594417576,14701.051276639564,9549.746101016277,0.400357486918523
9,144491.8397331904,68342.45746990936,6999.217003665931,7756.44577184619,4870.009778629802,0.9023742587192712
10,85454.30438119343,11383.457226395183,5734.296227618845,11635.098550680144,6546.581081327569,0.49284466329540794
11,90619.84948772132,5736.357879375574,11610.715266586612,20774.172163601797,9940.793315937939,0.5589014654903853
12,93202.8049958231,54328.61484019667,3286.7227996515353,11159.828639704227,3949.4009147283455,0.2945137336569932
13,173861.17538505304,27816.525787801063,4783.382937373106,5725.212340128183,2637.232959319893,0.8354944154378752
14,154087.38174776733,26190.916714502993,18365.11903925556,12601.914991420666,4494.782205330084,1.457327640422782
15,87538.42174342074,8010.678382156382,2521.55684787422,8809.22026065953,6693.576383288846,0.2862406402908395
16,65275.710303970416,12714.263261661295,11019.33075273278,10849.52852684977,3637.6385014760763,1.0156506548153492
17,80591.25871946252,10595.067661998968,4156.901610870258,14637.21567197407,3784.180140032191,0.2839953789045749
18,100172.38674353935,16871.080994425807,17498.800034287615,18666.91913946113,7571.239815789253,0.9374230371682407
19,110239.11459102103,43013.290725128536,26417.002472371725,8376.982007067321,12368.137074386686,3.1535226469490762
20,110935.99158153657,6714.250150105287,5193.42478710124,5974.591196059964,3339.521459165102,0.8692519063942189
21,93304.60317437846,17601.81163625981,8410.446801915086,6606.032866474316,2878.6946586751105,1.2731463757315211
22,125454.98758062816,57128.52555962918,10811.298313421217,9996.877175405001,5745.917026650162,1.0814675546899697
23,85289.39803453475,54658.06926124697,7364.247312154893,10875.964066161847,8276.944903023037,0.677112140804797
